Name EN,Name CN
Rockman EXE - N1 Battle (Japan) (Rev 1),洛克人N1激斗篇
Rockman EXE WS (Japan),洛克人EXE
Romancing Sa-Ga (Japan),复活邪神
SD Gundam - Emotional Jam (Japan) (Rev 2),SD高达 - 激震篇
SD Gundam - Emotional Jam (Japan) (Rev 3),SD高达 - 激震篇
SD Gundam - Operation U.C. (Japan),SD高达 - 年代战记U.C.
SD Gundam Eiyuu Den - Kishi Densetsu (Japan),SD高达英雄传 - 骑士传说
SD Gundam Eiyuu Den - Musha Densetsu (Japan),SD高达英雄传 - 武者传说
SD Gundam G Generation - Gather Beat (Japan),SD高达G世代
SD Gundam G Generation - Gather Beat 2 (Japan),SD高达G世代2
SD Gundam G Generation - Mono-Eye Gundams (Japan) (Rev 2),SD高达G世代 - 独眼高达
SD Gundam G Generation - Mono-Eye Gundams (Japan),SD高达G世代 - 独眼高达
SD Gundam Gashapon Senki - Episode 1 (Japan) (Alt),SD高达加藤战記 - 第一篇
SD Gundam Gashapon Senki - Episode 1 (Japan),SD高达加藤战記 - 第一篇
Saint Seiya - Ougon Densetsu Hen - Perfect Edition (Japan),圣斗士星矢 - 黄金传说篇
Sangokushi II for WonderSwan (Japan),三国志2
Sangokushi for WonderSwan (Japan),三国志
Senkaiden - TV Animation Senkaiden Houshin Engi Yori (Japan),仙界传1
Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori (Japan),仙界传2
Sennou Millennium (Japan),线脑
Shaman King - Asu e no Ishi (Japan) (Rev 1),通灵王子 - 未来的意志
Shaman King - Asu e no Ishi (Japan),通灵王子 - 未来的意志
Shanghai Pocket (Japan),口袋上海
Shin Nihon Pro Wrestling - Toukon Retsuden (Japan) (Rev 1),新日本摔角联盟 - 斗魂烈传
Shougi Touryuumon (Japan),將棋登龙门
Side Pocket for WonderSwan (Japan),口袋撞球
Slither Link (Japan),数字连线
Soccer Yarou! - Challenge the World (Japan),足球野郎 - 挑战全世界
Sorobang (Japan) (Rev 1),魔术算盘
Sotsugyou for WonderSwan (Japan) (Rev 1),毕业
Space Invaders (Japan),太空侵略者
Star Hearts - Hoshi to Daichi no Shisha (Japan),星辰战士
Star Hearts - Hoshi to Daichi no Shisha - Taikenban (Japan) (Not For Sale),星辰战士 - 体验版
Super Robot Taisen Compact (Japan) (Rev 1),超级机器人大战 - 精华版
Super Robot Taisen Compact (Japan) (Rev 2),超级机器人大战 - 精华版
Super Robot Taisen Compact (Japan),超级机器人大战 - 精华版
Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen (Japan),超级机器人大战精华版2 - 第1部 - 地上激动篇
Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen (Japan) (Rev 4),超级机器人大战精华版2 - 第2部 - 宇宙激震篇
Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen (Japan) (Rev 2),超级机器人大战精华版2 - 第3部 - 银河决战篇
Super Robot Taisen Compact 3 (Japan) (Rev 5),超级机器人大战 - 精华版3
Super Robot Taisen Compact 3 (Japan) (Rev 6),超级机器人大战 - 精华版3
Super Robot Taisen Compact for WonderSwan Color (Japan),超级机器人大战 - 精华版
Taikyoku Igo - Heisei Kiin (Japan),对局围棋平成棋院
Tanjou Debut for WonderSwan (Japan) (Rev 1),诞生
Tare Panda no GunPey (Japan),趴趴熊方块
Tekken Card Challenge (Japan),铁拳卡片挑战赛
Tenori-on (Japan) (En),音乐创作器
Terrors (Japan),恐怖传说
Terrors 2 (Japan),恐怖传说2
Tetris (Japan),俄罗斯方块
Tetsujin 28 Gou (Japan),铁人28号
Time Bokan Series - Bokan Densetsu - Buta mo Odaterya Doronboo (Japan),时间飞船 - 波甘传说
Tokyo Majin Gakuen - Fuju Houroku (Japan),东京魔人学园符咒封魔录
Tonpuusou (Japan),东风庄
Trump Collection - Bottom-Up Teki Trump Seikatsu (Japan) (Rev 1),紙牌革命 - 混合卓上纸牌
Trump Collection 2 - Bottom-Up Teki Sekaiisshuu no Tabi (Japan) (Rev 1),纸牌革命2
Turntablist - DJ Battle (Japan),DJ快打
Uchuu Senkan Yamato (Japan),宇宙战舰大和号
Ultraman - Hikari no Kuni no Shisha (Japan),奥特曼 - 光之国的使者
Umizuri ni Ikou! (Japan),大家來海钓
Uzumaki - Denshi Kaiki Hen (Japan) (Rev 4),漩涡 - 电视怪奇篇
Uzumaki - Noroi Simulation (Japan),漩涡 - 魔咒篇
Vaitz Blade (Japan) (Rev 1),华尔兹之剑
Wasabi Produce - Street Dancer (Japan),街头舞者
Wild Card (Japan),狂野卡片
With You - Mitsumete Itai (Japan),与你同在
Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan),辟邪除妖
Wonder Classic (Japan),经典高尔夫
Wonder Stadium '99 (Japan),奇迹棒球99
Wonder Stadium (Japan),奇迹棒球
WonderSwan Handy Sonar (Japan) (Rev 1),携帶鱼群探知机
WonderSwan Handy Sonar (Japan) (Rev 2),携帶鱼群探知机
X - Card of Fate (Japan),命运之X卡牌
XI Little (Japan),骰子方块
beatmania for WonderSwan (Japan),狂热节拍
mama Mitte (Japan) (Program),孕妇健康软件
mama Mitte (Japan) (Rev D) (Program),孕妇健康软件
