Name EN,Name CN
Caesars Palace (Japan),凯撒皇宫
Caesars Palace (USA),凯撒皇宫
Caesars Palace (USA) (Rev 1),凯撒皇宫
Capcom Quiz - Hatena no Daibouken (Japan),卡普空问答 - 大冒险
Captain America and the Avengers (USA),上尉密令
Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan) (SGB Enhanced),天使之翼J
Captain Tsubasa VS (Japan),天使之翼VS
Card Game (Japan),卡牌游戏
"Casino FunPak (USA, Europe)",娱乐赌场
Casper (Europe),鬼马小灵精
Casper (USA),鬼马小灵精
Castelian (Europe),城堡猪
Castelian (USA),城堡猪
Castle Quest (Europe),城堡探索
Castlevania - The Adventure (Europe),恶魔城 - 冒险
Castlevania - The Adventure (USA),恶魔城 - 冒险
Castlevania - The Adventure (USA) (Castlevania Anniversary Collection),恶魔城 - 冒险
"Castlevania II - Belmont's Revenge (USA, Europe)",恶魔城2 - 贝尔蒙多的复仇
"Castlevania II - Belmont's Revenge (USA, Europe) (Castlevania Anniversary Collection)",恶魔城2 - 贝尔蒙多的复仇
"Castlevania Legends (USA, Europe) (SGB Enhanced)",恶魔城漆黑前奏曲
Catrap (USA),猫陷阱
Cave Noire (Japan),刚果洞窟
Centipede (USA) (Majesco),杀虫大战-Majesco版
"Centipede (USA, Europe) (Accolade)",杀虫大战-Accolade版
Chachamaru Boukenki 3 - Abyss no Tou (Japan),茶茶丸大冒险3
Chachamaru Panic (Japan),茶茶丸大恐慌
Chalvo 55 - Super Puzzle Action (Japan),查波55 - 超级难题行动
Championship Pool (USA),花式台球锦标赛
"Chase H.Q. (USA, Europe)",追踪HQ
"Chessmaster, The (Europe)",国际象棋大师
"Chessmaster, The (Japan)",国际象棋大师
"Chessmaster, The (USA) (Rev 1)",国际象棋大师
"Chessmaster, The (USA, Europe)",国际象棋大师
Chibi Maruko-chan - Maruko Deluxe Theater (Japan) (SGB Enhanced),樱桃小丸子 - 金鱼豪华剧场
Chibi Maruko-chan - Okozukai Daisakusen! (Japan),樱桃小丸子 - 大作战
Chibi Maruko-chan 2 - Deluxe Maruko World (Japan),樱桃小丸子2
Chibi Maruko-chan 3 - Mezase! Game Taishou no Maki (Japan),樱桃小丸子3
Chibi Maruko-chan 4 - Kore ga Nihon Da yo! Ouji-sama (Japan),樱桃小丸子4
Chiki Chiki Machine Mou Race (Japan),顽皮狗
Chiki Chiki Tengoku (Japan),顽皮狗天国
Chikyuu Kaihou Gun ZAS (Japan) (En),地球解放军
Choplifter II (Japan),救难直升机2
Choplifter II - Rescue & Survive (Europe),救难直升机2
Choplifter II - Rescue & Survive (USA),救难直升机2
Choplifter III (Europe),救难直升机3
Chou Mashin Eiyuu Den Wataru - Mazekko Monster (Japan) (SGB Enhanced),魔神英雄传 - 怪物饲养员
Chou Mashin Eiyuu Den Wataru - Mazekko Monster 2 (Japan) (SGB Enhanced),魔神英雄传 - 怪物饲养员2
Chousoku Spinner (Japan) (SGB Enhanced),爆转陀螺
"Chuck Rock (USA, Europe)",小原始人
"Cliffhanger (USA, Europe)",绝岭雄风
Collection Pocket (Japan) (SGB Enhanced),口袋游戏收藏
College Slam (USA),大学联盟篮球赛
Contra (Japan) (En),魂斗罗
Contra (World) (Contra Anniversary Collection),魂斗罗
Contra - The Alien Wars (USA) (SGB Enhanced),魂斗罗 - 异形战争
Contra Spirits (Japan) (SGB Enhanced),魂斗罗精神
Cool Ball (USA),酷球
Cool Hand (Europe),冒失鬼
"Cool Hand (Europe) (Fr,De)",冒失鬼
Cool Spot (Europe),七喜小子
Cool Spot (USA),七喜小子
"Cool World (USA, Europe)",酷世界
Cosmo Tank (Japan),都市坦克
Cosmo Tank (USA),都市坦克
Crayon Shin-chan - Ora no Gokigen Collection (Japan) (SGB Enhanced),蜡笔小新 - 我的心情收集
Crayon Shin-chan - Ora to Shiro wa Otomodachi Da yo (Japan),蜡笔小新 - 我和小白是朋友
Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo (Japan),蜡笔小新2
Crayon Shin-chan 3 - Ora no Gokigen Athletic (Japan),蜡笔小新3
Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan) (SGB Enhanced),蜡笔小新4
Crystal Quest (USA),水晶探索
Cult Jump (Japan),狂热跳跃
Cult Master - Ultraman ni Miserarete (Japan),奥特曼问答明星
"CutThroat Island (USA, Europe)",割喉岛
Cyraid (USA),城堡劫掠
DX Bakenou Z (Japan),DX马券王Z
DX Bakenou Z (Japan) (Rev 1),DX马券王Z
Daedalian Opus (USA),解迷之路
Daffy Duck (Europe),达菲鸭 - 火星任务
"Daffy Duck (USA, Europe) (SGB Enhanced)",达菲鸭 - 火星任务
Dai-2-ji Super Robot Taisen G (Japan) (SGB Enhanced),第2次超级机器人大战G
Daikaijuu Monogatari - The Miracle of the Zone (Japan) (SGB Enhanced),大贝兽物语 - 神奇地带
Daiku no Gen-san - Ghost Building Company (Japan),大力工头阿源君 - 幽灵建筑公司
Daiku no Gen-san - Robot Teikoku no Yabou (Japan),大力工头阿源君 - 机器帝国之野望
Daisenryaku (Japan),大战略
"Darkman (USA, Europe)",变形黑侠
Darkwing Duck (Europe),狡猾飞天
Darkwing Duck (Germany),狡猾飞天
Darkwing Duck (Spain),狡猾飞天
Darkwing Duck (USA),狡猾飞天
David Crane's The Rescue of Princess Blobette (Europe),男孩与软泥怪
David Crane's The Rescue of Princess Blobette (USA),男孩与软泥怪
"Days of Thunder (USA, Europe)",雷霆壮志
Dead Heat Scramble (Japan),死亡狂热争夺
Dead Heat Scramble (USA),死亡狂热争夺
Dennis (Europe),丹尼斯
Dennis the Menace (USA),丹尼斯威胁
Desert Strike - Return to the Gulf (Europe) (SGB Enhanced),沙漠风暴 - 重返海湾
Desert Strike - Return to the Gulf (USA) (SGB Enhanced),沙漠风暴 - 重返海湾
"Dexterity (USA, Europe)",敏捷
Dick Tracy (USA),至尊神探
Dig Dug (Europe),叮当
Dig Dug (USA),叮当
Dino Breeder (Japan) (Rev 1) (SGB Enhanced),育龙战记
