Name EN,Name CN
Cardcaptor Sakura - Tomoeda Shougakkou Daiundoukai (Japan),魔卡少女樱 - 友枝小学校大运动会
"Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl)",路易士体育竞赛
Carmageddon - Carpocalypse Now (Germany),狂飙飞车
"Carmageddon - Carpocalypse Now (USA, Europe) (En,Fr,Es,It)",狂飙飞车
"Casper (Europe) (En,Es,It)",鬼马小精灵
"Casper (Europe) (En,Fr,De)",鬼马小精灵
Casper (USA),鬼马小精灵
"Caterpillar Construction Zone (USA, Europe) (GB Compatible)",铲泥车
Catwoman (Europe),猫女
Catwoman (USA),猫女
Catz (Europe),卡茨
Catz (USA),卡茨
"Centipede (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",杀虫战记
Centipede (USA) (GB Compatible),杀虫战记
"Championship Motocross 2001 featuring Ricky Carmichael (USA, Europe)",越野机车冠军赛2001
Chase H.Q. - Secret Police (Europe) (SGB Enhanced) (GB Compatible),追踪HQ
Chase H.Q. - Secret Police (USA) (SGB Enhanced) (GB Compatible),追踪HQ
"Checkmate (Japan) (En,Ja) (GB Compatible)",西洋棋王
Chee-Chai Alien (Japan) (Rumble Version),叱咤依林
"Chessmaster (USA, Europe) (GB Compatible)",决战西洋棋
Chi to Ase to Namida no Koukou Yakyuu (Japan),高中棒球
Chibi Maruko-chan - Go Chounai Minna de Game Da yo! (Japan),樱桃小丸子
"Chicken Run (USA, Europe) (En,Fr,De,Es,It)",小鸡快跑
Chiki Chiki Machine Mou Race (Japan),顽皮狗
Choro Q - Hyper Customable GB (Japan) (SGB Enhanced) (GB Compatible),可爱四驱车Q
Classic Bubble Bobble (Europe) (SGB Enhanced) (GB Compatible),泡泡龙
Classic Bubble Bobble (USA) (SGB Enhanced) (GB Compatible),泡泡龙
Colin McRae Rally (Europe),科林拉力赛
Columns GB - Tezuka Osamu Characters (Japan) (SGB Enhanced) (GB Compatible),阿童木方块
Command Master (Japan),指令王
"Commander Keen (USA, Europe)",敏捷指挥官
"Conker's Pocket Tales (USA, Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",松鼠库克的口袋冒险
"Cool Bricks (Europe) (En,Fr,De,Es,It)",酷砖块
"Cool Hand (Europe) (En,Fr,De) (GB Compatible)",拉斯维加斯赌圣
Crazy Bikers (Europe),越野摩托车2
"Croc (USA, Europe)",瓜瓜龙
"Croc 2 (USA, Europe)",瓜瓜龙2
"Cross Country Racing (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",极速狂飙
Cross Hunter - Monster Hunter Version (Japan),十字猎人 - 怪兽篇
Cross Hunter - Treasure Hunter Version (Japan),十字猎人 - 寻宝篇
Cross Hunter - X Hunter Version (Japan),十字猎人 - X猎人
Cruis'n Exotica (USA),异域赛车
Crystalis (USA),水晶战记
"Cubix - Robots for Everyone - Race 'n Robots (USA) (En,Fr,De,Es,It)",哈乐德机械赛场
"CyberTiger (USA, Europe)",伍兹高尔夫
