Name EN,Name CN
"Diddy Kong Racing (Europe) (En,Fr,De)",迪迪刚赛车
"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)",迪迪刚赛车
Diddy Kong Racing (Japan),迪迪刚赛车
"Diddy Kong Racing (USA) (En,Fr)",迪迪刚赛车
"Diddy Kong Racing (USA) (En,Fr) (Rev 1)",迪迪刚赛车
Die Hard 64 (USA) (Proto) (Level 1),
Die Hard 64 (USA) (Proto) (Level 2),
Die Hard 64 (USA) (Proto) (Level 3),
Dinosaur Planet (USA) (Proto) (2000-12-01),
Dolphin Controller Test (Japan) (Test Program),
"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)",唐老鸭大冒险-嘎嘎攻击
"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)",唐老鸭大冒险-嘎嘎攻击
"Donkey Kong 64 (Europe) (En,Fr,De,Es)",大金刚64
Donkey Kong 64 (Japan),大金刚64
Donkey Kong 64 (USA),大金刚64
Donkey Kong 64 (USA) (Demo) (Kiosk),大金刚64
Donkey Kong 64 (USA) (LodgeNet),大金刚64
Doom 64 (USA) (Beta) (1996-12-10),毁灭战士64
Doom 64 (Europe),毁灭战士64
Doom 64 (Japan),毁灭战士64
Doom 64 (USA),毁灭战士64
Doom 64 (USA) (Rev 1),毁灭战士64
Doraemon - Nobita to 3tsu no Seireiseki (Japan),哆啦A梦-三颗精灵石
Doraemon 2 - Nobita to Hikari no Shinden (Japan),哆啦A梦2-光之神殿
Doraemon 3 - Nobita no Machi SOS! (Japan),哆啦A梦3-野比太町大营救!
Doubutsu Banchou (Japan) (Proto),
Doubutsu no Mori (Japan),动物之森
Dr. Mario 64 (USA),马里奥医生64
Dr. Mario 64 (USA) (LodgeNet),马里奥医生64
Dragon King (World) (Pirate),
Dragon Sword 64 (Europe) (Proto),龙之剑64
Dragon Sword 64 (USA) (Proto) (1999-08-25),龙之剑64
Dual Heroes (Europe),英雄战队
Dual Heroes (Japan),英雄战队
Dual Heroes (USA),英雄战队
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)",道奇鸭火星历险记
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07)",道奇鸭火星历险记
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 1)",道奇鸭火星历险记
Duke Nukem - Zero Hour (USA) (Beta),毁灭公爵-关键时刻
Duke Nukem - Zero Hour (Europe),毁灭公爵-关键时刻
Duke Nukem - Zero Hour (France),毁灭公爵-关键时刻
Duke Nukem - Zero Hour (USA),毁灭公爵-关键时刻
Duke Nukem 64 (Europe),毁灭公爵64
Duke Nukem 64 (France),毁灭公爵64
Duke Nukem 64 (USA),毁灭公爵64
Duke Nukem 64 (Europe) (Beta),毁灭公爵64
"Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)",蚯蚓吉姆3D
Earthworm Jim 3D (USA),蚯蚓吉姆3D
ECW Hardcore Revolution (Europe),终极摔交锦标赛
ECW Hardcore Revolution (USA),终极摔交锦标赛
ECW Hardcore Revolution (Germany),终极摔交锦标赛
ECW Hardcore Revolution (USA) (Beta),终极摔交锦标赛
EEPROM & SRAM Erase Program (USA) (v1.2) (LodgeNet),
Eikou no Saint Andrews (Japan),荣光的圣安德鲁斯老球场
Eltale Monsters (Japan),圣魔世纪
Excitebike 64 (USA) (LodgeNet),越野机车64
Excitebike 64 (Europe),越野机车64
Excitebike 64 (Japan),越野机车64
Excitebike 64 (USA),越野机车64
Excitebike 64 (USA) (Demo) (Kiosk),越野机车64
Excitebike 64 (USA) (Rev 1),越野机车64
"Extreme-G (Europe) (En,Fr,De,Es,It)",极限摩托车-G
Extreme-G (Japan),极限摩托车-G
Extreme-G (USA),极限摩托车-G
"Extreme-G XG2 (Europe) (En,Fr,De,Es,It)",极限摩托车-G-XG2
Extreme-G XG2 (Japan),极限摩托车-G-XG2
Extreme-G XG2 (USA),极限摩托车-G-XG2
F-1 World Grand Prix (Europe),F1国际赛车大奖赛
F-1 World Grand Prix (France),F1国际赛车大奖赛
F-1 World Grand Prix (Germany),F1国际赛车大奖赛
F-1 World Grand Prix (Japan),F1国际赛车大奖赛
F-1 World Grand Prix (USA),F1国际赛车大奖赛
F-1 World Grand Prix (Europe) (Beta),F1国际赛车大奖赛
"F-1 World Grand Prix II (Europe) (En,Fr,De,Es)",F1国际赛车大奖赛2
F-Zero X (Europe),零式赛车X
F-Zero X (Japan),零式赛车X
F-Zero X (USA),零式赛车X
F-Zero X (USA) (Beta) (The Legend of Zelda - Ocarina of Time leftover data),零式赛车X
F-Zero X (USA) (LodgeNet),零式赛车X
"F1 Pole Position 64 (Europe) (En,Fr,De)",休曼GP赛车
"F1 Pole Position 64 (USA) (En,Fr,De)",休曼GP赛车
"F1 Racing Championship (Europe) (En,Fr,De,Es,It)",F1赛车锦标赛
"F1 Racing Championship (Brazil) (En,Fr)",F1赛车锦标赛
F1 Racing Championship (USA) (Beta),F1赛车锦标赛
Famista 64 (Japan),南梦宫棒球64
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)",FIFA足球'98-世界杯之路
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)",FIFA足球'98-世界杯之路
FIFA - Road to World Cup 98 - World Cup e no Michi (Japan),FIFA足球'98-世界杯之路
"FIFA 64 (Europe) (En,Fr,De)",FIFA足球64
"FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",FIFA足球'99
"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",FIFA足球'99
"FIFA Soccer 64 (USA) (En,Fr,De)",FIFA足球64
Fighter Destiny 2 (USA),格斗传承2
Fighters Destiny (Europe),格斗传承
Fighters Destiny (France),格斗传承
Fighters Destiny (Germany),格斗传承
Fighters Destiny (USA),格斗传承
Fighting Cup (Japan),格斗传承
Fighting Force 64 (Europe),格斗力量64
Fighting Force 64 (USA),格斗力量64
Flying Dragon (Europe),飞龙之拳
Flying Dragon (USA),飞龙之拳
"Forsaken (Europe) (En,Fr,Es,It)",浩劫余生64
Forsaken (Germany),浩劫余生64
Forsaken 64 (USA),浩劫余生64
Fox Sports College Hoops '99 (USA),福克斯篮球'99
Freak Boy (Unknown) (Proto),
Frogger 2 (USA) (Proto) (1999-03-xx),青蛙过河2
Frogger 2 (USA) (Proto) (1999-06-xx) (MS4),青蛙过河2
Frogger 2 (USA) (Proto) (1999-06-xx),青蛙过河2
Frogger 2 (USA) (Proto) (1999-12-01),青蛙过河2
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),不可思议的迷宫-风来的西林2-鬼袭来!西林城!
G.A.S.P!! Fighters' NEXTream (Europe),死亡格斗
G.A.S.P!! Fighters' NEXTream (Japan),死亡格斗
GameBooster 64 (Europe) (v1.1) (Unl),GameBooster64
GameBooster 64 (USA) (v1.1) (Unl),GameBooster64
GameShark Pro (USA) (v2.0) (Unl),GameSharkPro
GameShark Pro (USA) (v3.3) (Unl),GameSharkPro
Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),大盗伍佑卫门-道中除妖记
Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),大盗伍佑卫门-桃山幕府记
Ganbare! Nippon! Olympics 2000 (Japan),加油!日本!奥运2000
Gauntlet Legends (Europe),圣铠传说
Gauntlet Legends (Japan),圣铠传说
Gauntlet Legends (USA),圣铠传说
Gauntlet Legends (USA) (LodgeNet),圣铠传说
Getter Love!! - Cho Renai Party Game Tanjou (Japan),恋爱告白
