Name EN,Name CN
Ground Zero Texas (USA) (Disc 1),德克萨斯州归零地
Ground Zero Texas (USA) (Disc 2),德克萨斯州归零地
Mighty Morphin Power Rangers (USA),恐龙战队
Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA),太阳码头与伟大建筑家 - 增强原声带
"FIFA International Soccer (USA) (En,Fr,De,Es)",FIFA国际足球
Dark Wizard - Yomigaerishi Yami no Madoushi (Japan),黑巫师
Eye of the Beholder (Japan),龙与地下城 - 邪恶之眼
Compton's Interactive Encyclopedia (USA) (Version 2.01R),康普顿互动百科全书
Sewer Shark (USA),下水道鲨鱼
Midnight Raiders (USA),午夜攻略
"Loadstar - The Legend of Tully Bodine (USA, Brazil)",北极星 - 塔利博丁传说
Joe Montana's NFL Football (USA),乔蒙大拿的NFL橄榄球
"Adventures of Willy Beamish, The (USA)",威利奇遇记
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),米奇狂想者
Surgical Strike (USA) (Alt),外科手术式打击
ESPN Sunday Night NFL (USA),ESPN周末超级碗之夜
Snatcher (USA),掠夺者
Popful Mail (USA) (RE),啵咕物语 - 美少女剑士梅儿
Black Hole Assault (Japan),黑洞突击
Night Trap (USA) (Disc 1) (Alt),午夜陷阱
Lunar - Eternal Blue (USA) (RE),露娜2 - 永恒蔚蓝
Dragon's Lair (USA),龙穴历险记
Space Ace (USA),太空王牌
Starblade (USA),星空之刃
Heimdall (USA),维京勇士
Dracula Unleashed (USA) (Disc 1),德古拉的释放
Dracula Unleashed (USA) (Disc 2),德古拉的释放
After Burner III (USA),冲破火网3
"Amazing Spider-Man vs. The Kingpin, The (USA)",超凡蜘蛛侠vs金并
Batman Returns (USA),蝙蝠侠归来
"Software Toolworks' Star Wars Chess, The (USA) (Alt)",星球大战国际象棋
Blackhole Assault (USA),黑洞突击
RDF - Global Conflict (USA),RDF - 全球冲突
Lethal Enforcers II - Gun Fighters (USA),致命杀手2
Lethal Enforcers (USA),致命杀手1
