Name EN,Name CN
Jaseiken Necromancer (Japan),邪圣剑
Jaseiken Necromancer (Japan) (Wii Virtual Console),邪圣剑
Jaseiken Necromancer (World) (Ja) (Wii U Virtual Console),邪圣剑
Jigoku Meguri (Japan),地狱小和尚
Jinmu Denshou (Japan),神武传承
Juuouki (Japan),兽王记
Kaizou Choujin Shubibinman (Japan),改造超人
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (Japan),改造超人2
Kato-chan Ken-chan (Japan),爆笑人
Kattobi! Takuhai-kun (Japan),暴躁快递
Keith Courage in Alpha Zones (USA),希腊斗士基斯
KickBall (Japan),场式足球
Kiki Kaikai (Japan) (En),奇奇怪界
King of Casino (USA),赌场之王
King of Casino (Japan),赌场之王
Klax (Japan),立体方块
Klax (USA),立体方块
Knight Rider Special (Japan),霹雳游侠
Kore ga Pro Yakyuu '89 (Japan),职业棒球'89
Kore ga Pro Yakyuu '90 (Japan),职业棒球'90
"Kung Fu, The (Japan)",功夫
"Kung Fu, The (Japan) (Wii Virtual Console)",功夫
Kyuukyoku Mahjong - Idol Graphic (Japan) (Unl),究极麻雀
Kyuukyoku Mahjong II - Super Idol Graphic (Japan) (Unl),究极麻雀2
Kyuukyoku Tiger (Japan) (En),究极虎
Lady Sword - Ryakudatsu Sareta 10-nin no Otome (Japan) (Unl),美少女之剑
Legend of Hero Tonma (USA),汤姆历险记
Legend of Hero Tonma (Japan),汤姆历险记
Legendary Axe II (USA),泡泡小子
"Legendary Axe, The (USA)",战斧传说
Lode Runner - Lost Labyrinth (Japan),淘金者 - 失落的迷宫
Maerchen Maze (Japan),爱丽丝梦游仙境 2
Magical Chase (Japan),小魔女
Magical Chase (USA),小魔女
Mahjong Gakuen - Touma Soushirou Toujou (Japan),麻雀学园
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan),麻雀学园东间风四郎
Mahjong Gokuu Special (Japan),麻雀悟空天竺特别版
Mahjong Haouden - Kaiser's Quest (Japan),麻雀霸王传
Mahjong Shikaku Retsuden - Mahjong Wars (Japan),麻雀战争
Maison Ikkoku (Japan),相聚一刻
Makai Hakkenden - Shada (Japan),魔界八犬传
Makai Prince Dorabocchan (Japan),魔界王子
Makyou Densetsu (Japan),魔境传说
Maniac Pro Wres - Asu e no Tatakai (Japan),明日之星摔角
Mashin Eiyuuden Wataru (Japan),魔神英雄传
Mesopotamia (Japan),弹弓怪
Metal Stoker (Japan) (En),铁甲战车
Military Madness (USA),疯狂军队
Mizubaku Daibouken (Japan),河马大冒险
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan),桃太郎传说外传
Momotarou Densetsu II (Japan),桃太郎传说2
