EN Name,CN Name
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan) (Wii Virtual Console),侦探俱乐部2 - 前篇
Family Composer (Japan) (Disk Writer),伴奏大师
Family Composer (Japan) (Rev 1) (Possible Proto),伴奏大师
Famimaga Disk Vol. 1 - Hong Kong (Japan),家庭游戏1 - 香港
Famimaga Disk Vol. 2 - Panic Space (Japan) (Disk Writer),家庭游戏2 - 混乱空间
Famimaga Disk Vol. 3 - All 1 (Japan) (Disk Writer),家庭游戏3 - 推骰子
Famimaga Disk Vol. 4 - Clocks (Japan) (Disk Writer),家庭游戏4 - 时钟方块
Famimaga Disk Vol. 5 - Puyo Puyo (Japan) (Disk Writer),家庭游戏5 - 魔法气泡
Famimaga Disk Vol. 6 - Janken Disk Jou (Japan) (Disk Writer),家庭游戏6 - 磁片之城
Final Command - Akai Yousai (Japan),赤色要塞
Fire Bam (Japan),巴姆救亲记
Fire Rock (Japan),火洛克
FMC Disk Card Checker Ver 1.3 (Japan) (Rev 2) (Developer Card),FMC磁碟检测工具
Fruits Mahjong 1 - Disk 1 - Mahjong Game Hontai (Japan) (Unl),水果麻将少女1 - 碟1
Fruits Mahjong 1 - Disk 2 - Dai H Taikai (Japan) (Unl),水果麻将少女1 - 碟2
Fruits Mahjong 2 - Disk 1 - Tokimeki Gals (Japan) (Unl),水果麻将少女2 - 碟1
Fruits Mahjong 2 - Disk 2 - Yonin to Dai H Taikai (Japan) (Unl),水果麻将少女2 - 碟2
Fruits Mahjong 3 - Disk 1 - Yonin no Tenshi Tachi (Japan) (Unl),水果麻将少女3 - 碟1
Fruits Mahjong 3 - Disk 2 - Tottemo H na Gogo (Japan) (Unl),水果麻将少女3 - 碟2
Fruits Mahjong 4 - Disk 1 - Bishoujo Connection (Japan) (Unl),水果麻将少女4 - 碟1
Fruits Mahjong 4 - Disk 2 - Daitan H na Hirusagari (Japan) (Unl),水果麻将少女4 - 碟2
Fuuun Shourin Ken (Japan),风云少林拳
Fuuun Shourin Ken - Ankoku no Maou (Japan) (Famicom 3D System),风云少林拳 - 暗黑之魔王
Galaga (Japan) (Disk Writer),大蜜蜂
Galaxian (Japan) (Disk Writer),小蜜蜂
Gall Force - Eternal Story (Japan),加伦战机
Game no Tatsujin - Money Wars (Japan) (Unl),游戏达人 - 金钱大战
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File (Japan),加马侦探团 - 魔鳞组
Ginga Denshou - Galaxy Odyssey (Japan),银河传承
Ginga Denshou - Galaxy Odyssey (Japan) (Rev 1) (Possible Proto),银河传承
Gokuraku Yuugi - Game Tengoku (Japan),极乐游戏
Golf (Japan) (Rev 1),高尔夫
Golf (Japan),高尔夫
Golf (Japan) (Rev 2) (Possible Proto),高尔夫
Golf - Japan Course (Japan) (DV 2),高尔夫 - 日本赛道
Golf - Japan Course (Japan) (Prize Card),高尔夫 - 日本赛道
Golf - Japan Course (Japan),高尔夫 - 日本赛道
Golf - Special Course (Japan) (Prize Card),高尔夫 - 特别赛道
Golf - US Course (Japan) (DV 1),高尔夫 - 美国赛道
Golf - US Course (Japan),高尔夫 - 美国赛道
Golf - US Course (Japan) (DV 2) (Disk Writer),高尔夫 - 美国赛道
"Golf, The - Bishoujo Classic (Japan) (Unl)",美少女高尔夫锦标赛
Gomoku Narabe (Japan) (Proto),五子棋
Goonies (Japan) (Disk Writer),七宝奇谋
Graphic Editor Hokusai - Ver 1.2 (Japan) (Unl),图形编辑器 V1.2
Green Beret (Japan),绿色兵团
Gun.Smoke (Japan),荒野大镖客
Gyruss (Japan),太空射击战
Gyruss (Japan) (Beta) (1988-10-03),太空射击战
Halley Wars (Japan),哈雷大战
Hao-kun no Fushigi na Tabi (Japan),不可思议之旅
Hayama Reiko no Date de Blackjack (Japan) (Unl),叶山丽子的美女二十一点
