EN Name,[TBD] Name
Casio Ski Command (Japan),
Casio Worldopen (Japan),
Castle Excellent (Japan) (Alt 1),
Castle Excellent (Japan),
Chack'n Pop (Japan) (Alt 1),
Chack'n Pop (Japan),
Challenge Derby (Japan),
Champion Boxing (Japan),
Champion Ice Hockey (Japan),
Champion Kendou (Japan) (Alt 1),
Champion Kendou (Japan),
Champion Pro Wrestling (Japan) (Alt 1),
Champion Pro Wrestling (Japan) (Alt 2),
Champion Pro Wrestling (Japan),
Champion Soccer (Japan),
Championship Lode Runner (Japan),
Checkers in Tantan Tanuki (Japan),
Cheese (Japan) (Program),
Cheese 2 (Japan) (Program),起司画板2
Chess (Japan),
Choplifter (Japan) (Alt 1),
Choplifter (Japan) (Alt 2),
Choplifter (Japan),
Choro Q (Japan) (Alt 1),
Choro Q (Japan),
Chugaku Hisshu Eibunpo 1 (Japan),
Circus Charlie (Japan),
City Connection (Japan) (Alt 1),
City Connection (Japan),
Coaster Race (Japan) (Alt 1),
Coaster Race (Japan) (Alt 2),
Coaster Race (Japan),
Color Ball (Japan) (Alt 1),
Color Ball (Japan) (Alt 2),
Color Ball (Japan),
Columns (Japan),
Come On! Picot (Japan),
Comecocos (Spain),
Comet Tail (Japan),
Comic Bakery (Japan) (Alt 1),
Comic Bakery (Japan) (Alt 2),
Comic Bakery (Japan),
Computer Billiards (Japan),
Computer Nyuumon - Computer Lessons (Japan),
Computer Othello (Japan) (Alt 1),
Computer Othello (Japan),
Computer Pachinko (Japan),
Con-Dori (Japan) (Alt 1),
Con-Dori (Japan) (Alt 2),
Con-Dori (Japan),
Confused (Europe),
Contra (Japan) (Wii U Virtual Console),魂斗罗
Cosmo (Japan) (Alt 1),
Cosmo (Japan),
Cosmo-Explorer (Japan) (Alt 1),
Cosmo-Explorer (Japan),
Courageous Perseus (Japan) (Alt 1),
Courageous Perseus (Japan),
Craze (Japan),
Crazy Bullet (Japan) (Alt 1),
Crazy Bullet (Japan),
Crazy Cars (Europe),
Crazy Train (Japan) (Alt 1),
Crazy Train (Japan),
Crimson (Japan),克里缪中
Cross Blaim (Japan),
Crusader (Japan) (Alt 1),
Crusader (Japan) (Alt 2),
Crusader (Japan),
D-Day (Japan) (Alt 1),
D-Day (Japan) (Alt 2),
D-Day (Japan) (Alt 3),
D-Day (Japan),
DX7 Voicing Program (Japan) (Program),
Daidasso (Japan),
Daikoukai Jidai (Japan),大航海时代
Daisenryaku (Japan),大战略
Daiva Story 4 - Asura's Bloodfeud (Japan),
Danger X4 (Japan) (Alt 1),
Danger X4 (Japan) (Alt 2),
Danger X4 (Japan),
Darwin 4078 (Japan) (Alt 2),达尔文4078
Darwin 4078 (Japan) (Alt),达尔文4078
Darwin 4078 (Japan),达尔文4078
David II (Japan),
Dawn Patrol (Japan),
Decathlon (Japan) (Alt 1),
Decathlon (Japan),
Deep Dungeon (Japan),
Deep Dungeon II (Japan),
Deep Forest (Japan) (Alt),森林物语
Deep Forest (Japan),森林物语
Demonia I (Europe),
Devil's Heaven (Japan),
Dig Dug (Japan) (Alt 1),
Dig Dug (Japan),
Digital Devil Monogatari Megami Tensei (Japan) (Alt 1),
Digital Devil Monogatari Megami Tensei (Japan),
Dip Dip (Spain),
Dires - Giger Loop (Japan),迪勒斯
Doki Doki Penguin Land (Japan) (Alt 1),
Doki Doki Penguin Land (Japan),
Doordoor (Japan),
Dorodon (Japan),
Double Dragon (Korea) (Unl),
Double Vision (Japan),美少女写真馆2合1
Dr. Copy (Japan),
Dragon Attack (Japan) (Alt 1),
Dragon Attack (Japan),
Dragon Buster (Japan),屠龙战记
Dragon Quest (Japan),
Dragon Quest (Japan),勇者斗恶龙1
Dragon Quest II (Japan) (Alt 1),
Dragon Quest II (Japan) (Alt),勇者斗恶龙2
Dragon Quest II (Japan),
Dragon Quest II (Japan),勇者斗恶龙2
Dragon Slayer (Japan),
Dragon Slayer II - Xanadu (Japan),
Dragon Slayer IV - Drasle Family (Japan) (Alt),屠龙者4
Dragon Slayer IV - Drasle Family (Japan),
Dragon Slayer IV - Drasle Family (Japan),屠龙者4
Dragon Slayer Jr. - Romancia (Japan),
Dragon Slayer Jr. - Romancia (Japan),爱的罗曼史
Drainer (Japan),
Druaga no Tou (Japan),
Druid (Japan) (Alt),德鲁伊
Druid (Japan),德鲁伊
Dungeon Hunter (Japan),
Dungeon Master (Japan),
Dunk Shot (Japan) (Alt 1),
Dunk Shot (Japan),
Dynamite Bowl (Japan) (Alt),爆烈保龄球
Dynamite Bowl (Japan),
Dynamite Bowl (Japan),爆烈保龄球
Eagle Fighter (Japan) (Alt 1),
Eagle Fighter (Japan),
Eddy 2 (Japan) (Program) (Alt 1),
Eddy 2 (Japan) (Program),
Eggerland Mystery (Japan),
Eiwa Jiten - English Japanese (Japan) (Program),
Elevator Action (Japan),
Elthlead (Japan),艾尔斯里德
Erika (Japan),
Europe Sensen (Japan),欧陆战线
Exa Innova (Japan) (Alt 1),
Exa Innova (Japan),
Exchanger (Japan) (Alt 1),
Exchanger (Japan),
Exerion (Japan) (Alt 1),
Exerion (Japan) (Alt 2),
Exerion (Japan),
Exerion II - Zorni (Japan) (Alt 1),
Exerion II - Zorni (Japan),
Exoide-Z (Japan) (Alt 1),
Exoide-Z (Japan) (Alt 2),
Exoide-Z (Japan),
Exoide-Z Area 5 (Japan),
F-1 Spirit - The Way to Formula-1 (Japan) (Alt 1),
F-1 Spirit - The Way to Formula-1 (Japan),
F-15 Strike Eagle (Japan),F15打击之鹰
F16 Fighting Falcon (Japan),
FB-01 Voicing Program (Japan) (Program),
FM Music Composer (Japan) (Program),
FM Music Composer II (Japan) (Program),
FM Music Macro (Japan) (Program),
FM Pana Amusement Cartridge (Japan) (Program),
FM Voicing Program (Japan) (Program),
Fa Tetris (Korea) (Unl),
Fairy (Japan),
Famicle Parodic (Japan),家庭战机
Family Automation Language Community (Japan) (Program),
Family Billiards (Japan),家庭桌球
Family Boxing - MSX Title Match (Japan),家庭拳击
Fandom Library #1 (Japan),
Fandom Library #2 (Japan),
Fandom Library #3 (Japan),
Fantasy Zone (Japan),
Fantasy Zone II - The Tears of Opa-Opa (Japan) (Alt),幻想地带2
Fantasy Zone II - The Tears of Opa-Opa (Japan),幻想地带2
Farm Kit (Europe) (Program),
Fathom (Japan),
Final Justice (Japan) (Alt 1),
Final Justice (Japan) (Alt 2),
Final Justice (Japan),
Final Mahjong (Japan),
Final Mystery Murder Club - Satsujin Club (Japan),杀人俱乐部
Final Zone Wolf (Japan),
Fire Ball (Japan),火球
Fire Rescue (Japan) (Alt 1),
Fire Rescue (Japan),
Flappy (Japan) (Alt 1),
Flappy (Japan),
Flappy - Limited 85 (Japan),
Flash Point (Korea) (Alt 1) (Unl),
Flash Point (Korea) (Unl),
Flash Splash (Japan),
Fleet Commander II - Koukon no Kaiiki (Japan),舰队指挥官2-黄昏之海域
Flicky (Japan),
Flight Deck (Japan) (Alt 1),
Flight Deck (Japan),
Flight Simulator (Japan),
Flipper Slipper (Japan) (Alt 1),
Flipper Slipper (Japan),
Formation Z (Japan) (Alt 1),
Formation Z (Japan),
Frogger (Japan) (Alt 1),
Frogger (Japan),
Front Line (Japan) (Alt 1),
Front Line (Japan) (Alt 2),
Front Line (Japan),
Fruit Search (Japan) (Alt 1),
Fruit Search (Japan),
Funky Mouse (Japan),
Futbol (Spain),
Fuun Takeshijyou (Japan),
GP World (Japan),
Gakuen Monogatari - High School Story (Japan),高校物语
Galaga (Japan) (Alt 1),
Galaga (Japan) (Alt 2),
Galaga (Japan) (Alt 3),
Galaga (Japan),
Galaxian (Japan) (Alt 1),
Galaxian (Japan) (Alt 2),
Galaxian (Japan),
Gall Force - Defense of Chaos (Japan) (Alt 1),
Gall Force - Defense of Chaos (Japan) (Alt 2),
Gall Force - Defense of Chaos (Japan),
Gambler Jiko Chuushinha (Japan),
Gambler Jiko Chuushinha 2 - Jishou! Kyougou Janshi Hen (Japan),自己中心派2-自称!强豪雀士篇
Game Land (Japan),
Game Master (Europe) (Alt 1),
Game Master (Europe),
Game Master (Japan) (Alt 1),
Game Master (Japan),
Game Master II (Japan) (Alt 1),
Game Master II (Japan),
Game World - 126 Games (Korea) (Unl),
Ganbare Goemon! - Karakuri Douchuu (Japan) (Wii U Virtual Console),大盗伍佑卫门
Gang Master (Japan),
Garakuta (Japan),画乐多
Garyuu Ou (Japan) (Alt),牙龙王
Garyuu Ou (Japan),牙龙王
Gate of Labyrinth (Japan),
Gekitotsu Pennant Race 2 (Japan) (English Menu),激突棒球2
Gekitotsu Pennant Race 2 (Japan),激突棒球2
Genghis Khan (Japan),
Ghostbusters (Europe),
Girly Block (Japan),格里战士
Glider (Japan) (Alt 1),
Glider (Japan),
Gojira vs 3 Daikaijuu (Japan) (Alt 1),
Gojira vs 3 Daikaijuu (Japan),
Gojira-kun (Japan) (Alt 1),
Gojira-kun (Japan),
Gokiburi Daisakusen - Bug Bomb (Japan),
Golf Game (Japan),
Golvellius (Japan),
Gomok Narabe - Omo Go (Japan) (Alt 1),
Gomok Narabe - Omo Go (Japan),
Green Beret (Europe) (Alt 1),
Green Beret (Europe),
Grog's Revenge (Japan) (Alt 1),
Grog's Revenge (Japan),
Guardic (Japan) (Alt 1),
Guardic (Japan),
Gulkave (Japan) (Alt 1),
Gulkave (Japan),
Gun Fright (Japan),
Gunjin Shougi Mars (Japan),
Gyrodine (Japan),
H.E.R.O. (Japan),
Hacker (Japan),黑客
Hades no Monsho (Japan) (Alt 1),
Hades no Monsho (Japan),
Hafanuda Koi Koi - Gostop Godori (Japan),
Hai no Majutsushi (Japan),牌之魔术师
Haja No Fuin (Japan),
Hal Note (Japan),海尔日记本
Han Seimei Senki Andorogynus (Japan) (Alt),反生命战机
Han Seimei Senki Andorogynus (Japan),反生命战机
Hanafuta (Japan),
Hang-On (Japan) (Alt 1),
Hang-On (Japan) (Alt 2),
Hang-On (Japan),
Harapeko Pakkun (Japan),
Hard Ball (Japan),硬式棒球
Harryfox MSX Special (Japan),
Harryfox Yki No Maoh (Japan),
Haunted Boynight (Japan),
