Name EN,Name CN
"Sakura Taisen 1 & 2 (Japan, Asia)",樱花大战1&2
Bomberman - Bakufuu Sentai Bombermen (Japan),炸弹人-爆风战队
Dora-Slot - Kyojin no Hoshi II (Japan) (v2.02),实战柏青嫂!巨人之星2
"Need for Speed - Underground Rivals (Europe, Australia) (En,Fr,De,Es,It)",极品飞车-地下狂飙
"Gangs of London (Europe) (En,Fr,De,Es,It,Pt)",伦敦黑帮
"Ridge Racer 2 (Europe, Australia) (En,Fr,De,Es,It)",山脊赛车2
Jeanne d'Arc (Japan) (Senkou Taikenban),圣女贞德
Coded Arms - Contagion (Asia),机密武装-蔓延
Boku no Watashi no Katamari Damacy (Japan),我们的块魂
"TalkMan Euro! TalkMan Europa Gengo-ban (Japan) (En,Ja,Fr,De,Es,It)",翻译精灵-欧洲语言
Grand Theft Auto - Liberty City Stories (Japan),侠盗猎车-自由城的故事
Little Aid Portable (Japan),小小助手-携带版
Irem Taikenban-shuu - 2008 Haru no Tokubetsugou (Japan),
"Exit (Europe) (En,Fr,De,Es,It)",紧急出口
"Tekken - Dark Resurrection (Europe) (En,Fr,De,Es,It) (v1.00)",铁拳-黑暗复苏
"Metal Gear Solid - Digital Graphic Novel (Europe) (En,Fr,De,Es,It)",合金装备-电子漫画
"Metal Gear Acid (Europe) (En,Fr,De,Es,It)",合金装备Ac!d
Metal Gear Solid - Portable Ops (Japan) (v1.00),合金装备-掌上行动
Metal Gear Solid - Portable Ops Plus (Japan),合金装备-掌上行动-加强版
Need for Speed - ProStreet (Europe),极品飞车-街头狂飙
Mobile Train Simulator - Keisei Toei Asakusa Keikyuusen (Japan),移动火车模拟-京成-都营浅草-京急线
"LocoRoco (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Ru)",乐克乐克
Yu-Gi-Oh! GX - Tag Force 2 (USA),游戏王GX-卡片力量2
ProStroke Golf - World Tour 2007 (USA),职业高尔夫-世界巡回赛2007
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",皇牌空战X-诡影苍穹
"Gitaroo Man Lives! (Europe) (En,Fr,De)",吉他小子
Castlevania - The Dracula X Chronicles (USA),恶魔城X历代记
"Wipeout Pulse (Europe, Australia) (En,Fr,De,Es,It)",反重力赛车2-脉搏
"Ultimate Ghosts'n Goblins (Europe) (En,Fr,De,Es,It)",极-魔界村
"Metal Gear Solid - Portable Ops (Europe) (En,Fr,De,Es,It)",合金装备-掌上行动
Tales of Eternia (Europe),永恒传说
Breath of Fire III (Europe),龙战士3
Death Jr. (USA),小死神
Bokujou Monogatari - Harvest Moon - Boy & Girl (Japan),牧场物语-中秋满月-男生&女生版
50 Cent - Bulletproof - G-Unit Edition (USA),50美分-防弹-G-Unit版
7 Wonders of the Ancient World (USA),世界七大奇迹
"Godfather, The - Mob Wars (Asia)",教父-暴乱
Tiger Woods PGA Tour 06 (Asia),泰格伍兹高尔夫球巡回赛2006
"300 - March to Glory (Europe) (En,Fr,De,Es,It)",斯巴达300勇士-光辉进军
God of War - Chains of Olympus (USA),战神-奥林匹斯之链
Crisis Core - Final Fantasy VII (USA),最终幻想7-危机核心
Aliens vs. Predator - Requiem (Europe),异形大战铁血战士2-安魂曲
Downstream Panic! (USA),回游历险记
Diner Dash - Sizzle & Serve (USA),美女餐厅
Scarface - Money. Power. Respect. (USA),疤面煞星-金钱.权力.尊敬.
Chameleon (USA),回转逆转变色龙
"Chili Con Carnage (Europe) (En,Fr,De,Es,It)",致命卧底
Pump It Up - Zero Portable (Korea),跳舞机-零-携带版
"Pump It Up - Exceed Portable (Korea) (En,Ko)",跳舞机-超越-携带版
Minna no Golf-jou Vol. 2 (Japan) (Disc 1),大众高尔夫球场2
Minna no Golf-jou Vol. 2 (Japan) (Disc 2),大众高尔夫球场2
"LEGO Star Wars II - The Original Trilogy (Europe) (En,Fr,De,Es,It,Da)",乐高星球大战2-原创三部曲
Minna no Golf-jou Vol. 3 (Japan) (Disc 1),大众高尔夫球场3
Minna no Golf-jou Vol. 3 (Japan) (Disc 2),大众高尔夫球场3
Derby Time 2006 (Japan),德贝赛马时代2006
Field Commander (USA),战地指挥官
"Burnout Legends (USA) (En,Fr,De,Es,It,Nl) (v2.00)",火爆狂飙-传奇
Sonic Rivals 2 (USA),索尼克-竞争者2
Yggdra Union (Japan) (Taikenban),公主联盟
Tobidase! Trouble Hanafuda Douchuuki (Japan),飞吧!老虎的纸牌道中记
Hot Shots Golf - Open Tee 2 (Asia),大众高尔夫2-携带版
"Mind Quiz - Exercise Your Brain (Europe) (En,Fr,De)",智力问答
"Final Fantasy II - 20th Anniversary Edition (USA, Canada) (En,Ja)",最终幻想2-20周年纪念版
Gensou Suikoden I & II (Japan) (v2.00),幻想水浒传1&2
Untold Legends - Brotherhood of the Blade (USA),无尽传说-刀锋兄弟会
"B-Boy (Europe) (En,Fr,De,Es,It)",街舞男孩
AI Shougi (Japan) (v2.00),AI将棋
"Secret Agent Clank (Asia) (En,Fr,De,Es,It)",秘密特工叮当
Blade Dancer - Lineage of Light (USA),剑舞者-千年之约定
Gradius Collection (USA),宇宙巡航机-携带版
Mega Man - Maverick Hunter X (USA),洛克人X-反乱猎人
Dragoneer's Aria (USA),龙骑士的咏叹调
Metal Gear Acid (USA),合金装备Ac!d
Shinkyoku Soukai Polyphonica - 0--4 wa Full Pack (Japan),神曲奏界复调0-4话完全版
"Virtua Tennis - World Tour (Europe) (En,Fr,De,Es,It)",VR网球
Disney-Pixar Ratatouille (France),料理鼠王
PoPoLoCrois (Europe),波波罗古罗伊斯物语-陂耶多罗王子的冒险
"World Tour Soccer 2 (Europe) (En,Fr,De,Es,It) (Demo)",世界足球巡回赛2
B-Boy (Europe) (Demo),街舞男孩
LocoRoco (Europe) (Demo),乐克乐克
PoPoLoCrois (USA),波波罗古罗伊斯物语-陂耶多罗王子的冒险
"Mortal Kombat - Unchained (Europe) (En,Fr,De,Es,It)",真人快打-释放
Mega Man - Maverick Hunter X (Europe),洛克人X-反乱猎人
"Key of Heaven (Europe) (En,Fr,De,Es,It)",天地之门
"Infected (Europe) (En,Fr,Es)",感染
Gurumin - Une Aventure Monstrueuse (France),咕噜小天使-怪物历险记
"Gradius Collection (Europe) (En,Fr,De,Es,It)",宇宙巡航机-携带版
"Final Fantasy II - 20th Anniversary Edition (Europe) (En,Ja)",最终幻想2-20周年纪念版
"Daxter (Europe) (En,Fr,De,Es,It)",达斯特
Crash Tag Team Racing (France),古惑狼赛车-团队竞速
"Crash of the Titans (Europe) (Fr,Nl)",古惑狼-泰坦
"Castlevania - The Dracula X Chronicles (Europe) (En,Fr,De,Es,It)",恶魔城X历代记
Metal Gear Acid 2 (USA),合金装备Ac!d2
"Ridge Racer (USA) (En,Fr,De,Es,It)",山脊赛车
Me & My Katamari (USA),我们的块魂
Metal Gear Solid - Portable Ops (USA),合金装备-掌上行动
"LEGO Indiana Jones - The Original Adventures (Europe) (En,Fr,De,Es,It,Da)",乐高印第安那琼斯-最初冒险
"Taiko no Tatsujin Portable (Japan, Asia) (v2.00)",太鼓达人-携带版
Astonishia Story (Europe),阿斯特尼西亚物语
Capcom Classics Collection Reloaded (Europe),卡普空经典游戏合集Reloaded
Mega Man - Powered Up (Europe),洛克人洛克人
Puyo Pop Fever (Europe),噗呦噗呦-狂热
"PaRappa the Rapper (Europe, Australia) (En,Fr,De,Es,It)",啪啦啪啦啪
"Lemmings (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",疯狂小旅鼠
"Gunpey (Europe) (En,Fr,De,Es,It)",线条方块
"Final Fantasy - 20th Anniversary Edition (Europe) (En,Ja)",最终幻想-20周年纪念版
"Everybody's Golf (Europe) (En,Fr,De,Es,It)",大众高尔夫-携带版
Dead to Rights - Reckoning (USA),脱狱潜龙-清算
"Prince of Persia - Revelations (USA) (En,Fr,Es)",波斯王子-武者之心
"Saru! Get You! P! (Japan, Asia) (v2.00)",捉猴啦P!
Parodius Portable (Japan),Q版沙罗曼蛇-携带版
TwinBee Portable (Japan),兵蜂-携带版
Sampler Disc for PSP Vol. 1 (USA),
Phantasy Star Portable (Japan) (Taikenban),梦幻之星-携带版
"Exit 2 (Europe) (En,Fr,De,Es,It)",紧急出口2
"Legend of Heroes, The - A Tear of Vermillion (USA)",英雄传说-朱红之泪
Super Robot Taisen MX Portable (Japan),超级机器人大战MX-携带版
Harvey Birdman - Attorney at Law (USA),哈维博德曼-律师生涯
Buzz! Master Quiz (Europe),喧闹少年找碴大师-硕士测验
Generation of Chaos (USA),新天魔界混沌时代4
Aedis Eclipse - Generation of Chaos (USA),新天魔界混沌时代5
Spectral Souls - Resurrection of the Ethereal Empires (USA),新纪幻想-圣魔战记2
Tales of the World - Radiant Mythology (USA),世界传说-光明神话
Jeanne d'Arc (USA),圣女贞德
Yu-Gi-Oh! GX - Tag Force (USA),游戏王GX-卡片力量
Final Fantasy Tactics - The War of the Lions (USA),最终幻想-战略版-狮子战争
"Silent Hill Origins (USA) (En,Fr,De,Es,It)",寂静岭-起源
Kameleon (Europe),回转逆转变色龙
Magic Sudoku (Europe),魔法数独
"Space Invaders Evolution (Europe) (En,Fr,De,Es,It,Nl)",太空侵略者-进化
Star Trek - Tactical Assault (Europe),星际迷航-战术攻击
"Zendoku (Europe) (En,Fr,De,Es,It)",禅读
Crisis Core - Final Fantasy VII (France),最终幻想7-危机核心
"Mercury Meltdown (Europe) (En,Fr,De,Es,It)",水银融化
"Legend of Heroes II, The - Prophecy of the Moonlight Witch (USA)",英雄传说-白发魔女
NBA 08 (USA),美国职业篮球联赛08
"Simpsons Game, The (USA)",辛普森家族
Fight Night Round 3 (USA),拳击之夜3
